Complexity,Loss,Equation
1,0.04761233,"x"
2,0.030636868,"tanh(x)"
3,0.0028527917,"x * x"
4,0.0017902007,"x * sin(x)"
5,0.00085745536,"x * (x + -0.07717661)"
6,0.00015589154,"(1.1504822 / cos(x)) + -1.109306"
8,1.7300461e-5,"x * ((0.823256 / cos(x)) + -0.5074143)"
9,1.792575e-6,"((1.2077291 / cos(x)) + -0.91402465) * tanh(x)"
10,3.2464743e-7,"((1.3746097 / (cos(x) - -0.2040993)) + -0.8445557) * x"
11,1.1817432e-8,"x * (sin((0.63581115 / cos(x)) + -0.43192714) * 1.4746897)"
13,1.0665199e-8,"(sin((0.63761973 / cos(0.0016269884 - x)) + -0.43383095) * 1.4770906) * x"
