method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,63,0.0000000014,0.0000000000,4.5340603217,0.0000000000,-8124.4156327950,0.3318415340,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000085070,0.0000000000
PISR-NSGA-II,Poisson_1D,3,2.6724988137,0.0000000000,1.3094579666,0.0000000000,441.1372843823,63.9449046040,0.0018715238
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000329680,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,10,0.0011865851,0.0000000000,0.0039103470,0.0000000000,-2646.7385783370,21.6871673960,0.0000003530
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000088490,0.0000000000
PISR-NSGA-II,Airy_1D,6,0.0002783145,0.0000000000,0.0003584311,0.0000000000,-3244.7462038281,28.9019637050,0.0000001358
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000179110,0.0000000000
PISR-NSGA-II,Fisher_1D,2,0.0000208603,0.0000000000,0.0000132662,0.0000000000,-4251.1513562680,4.0003226480,0.0000000147
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000153190,0.0000000000
PISR-NSGA-II,Duffing_1D,23,0.0228672402,0.0000000000,0.0240727091,0.0000000000,-1451.3053345113,31.5872065860,0.0149175718
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000257800,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,12,334.6179056591,0.0000000000,47.8590879351,0.0000000000,2391.1018303167,7.7782007620,0.0014652195
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000501170,0.0000000000
PISR-NSGA-II,Airy_2D,11,0.0155542523,0.0000000000,0.0531236853,0.0000000000,-1605.4538412271,128.2425486090,0.0004491449
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0450318640,0.0001682673
PISR-NSGA-II,Fisher_2D,2,0.0055270030,0.0000000000,0.0115826425,0.0000000000,-2019.3291788064,8.6267318020,0.0000598013
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0434553920,0.0000000000
PISR-NSGA-II,Duffing_2D,5,0.0080548982,0.0000000000,0.0320319129,0.0000000000,-1832.7265289029,194.7918897270,0.0001892513
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1526556370,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,2,470.9079713332,0.0000000000,17.0576952437,0.0000000000,2509.7967903667,9.8268140930,0.0000383575
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1444411410,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,122,0.0110839614,0.0706991503,0.4890245909,0.0636590233,-923.5847665979,101.4216197320,0.0233708709
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,69,0.0000506992,0.0082850428,0.0241326360,0.0003998328,-1807.0347353535,105.7408107420,0.2877200737
PISR-NSGA-II,Lane-Emden_1D,4,0.0310218501,0.0000000000,1.9466317841,0.0000000000,-1347.2851405893,6.1931910450,0.0018092420
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0001017210,0.0000000000
PISR-NSGA-II,Troesch_1D,2,0.7780254879,0.0000000000,0.6094642283,0.0000000000,-64.4496105296,6.3495094580,0.0001483227
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000536250,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,1,0.0376384891,0.0000000000,0.0104391895,0.0000000000,-1293.9168483967,2.0382271870,0.0003091145
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000183070,0.0000000000
PISR-NSGA-II,Painleve-I_1D,2,0.5682232534,0.0000000000,0.0634429888,0.0000000000,-208.1219606772,1.5873904440,0.0001659494
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000247940,0.0000000000
