Complexity,Loss,Equation
1,0.012243632,"0.8653592"
2,0.0015468453,"cos(x)"
3,3.143903e-5,"cos(sin(x))"
5,7.325775e-6,"cos(sin(x) * -1.0150801)"
7,1.7905663e-7,"cos(sin(x * 0.89895004) * 1.1038018)"
10,1.461225e-7,"exp((x * x) * (-0.52717537 - (x * -0.09210835)))"
11,1.4255063e-8,"exp(sin((x * x) * (-0.5140861 - (x * -0.0660246))))"
12,1.4192075e-8,"exp(sin((-0.51416975 - tanh(x * -0.06619343)) * (x * x)))"
13,1.2025498e-8,"exp(sin(((x * x) - 0.00018017473) * (-0.5147787 - (x * -0.06668232))))"
14,4.3478043e-9,"exp((-0.50860727 - ((x * (-1.0555391 - x)) * 0.03650881)) * (x * x))"
17,4.324882e-9,"exp(((x * -0.5086055) - sin(((x * (-1.0555391 - x)) * 0.036522917) * x)) * x)"
19,4.3247517e-9,"exp(((x * -0.5086055) - sin((x * (-1.0555391 - x)) * ((x * 0.03285094) / 0.899461))) * x)"
