Complexity,Loss,Equation
1,0.029425938,"0.40174717"
4,0.015328586,"0.6338435 / exp(y)"
5,1.005058e-13,"inv(exp(x + y))"
6,9.976734e-14,"0.9999999 / exp(x + y)"
7,9.880615e-14,"inv(exp(x + y) + 3.3691978e-7)"
8,9.8027496e-14,"0.88787764 / exp((y + x) + -0.11892123)"
9,9.618506e-14,"inv(exp(y + (x + 2.0750018e-7))) + 4.3010704e-8"
11,9.5998364e-14,"inv(exp((x + y) + -6.2674644e-8) / -4.4767046) * -0.22337855"
13,9.500598e-14,"(inv(exp((x + y) + -6.125047e-8) / -4.4767046) + -1.1303108e-7) * -0.22337855"
15,9.4658005e-14,"(inv(exp((x + (y + -4.7106443e-9)) + -6.125047e-8) / -4.4767046) + -1.1303108e-7) * -0.22337855"
19,9.458546e-14,"((y + (-1.1377072e-7 - y)) + inv(exp((x + (y + -7.247785e-9)) + -6.368507e-8) / -4.4767046)) * -0.22337855"
