Complexity,Loss,Equation
1,0.00796481,"0.9120567"
3,0.0012240483,"cos(tanh(x))"
4,0.0003412878,"cos(x * 0.7543675)"
5,0.0002793481,"cos(sin(x + -0.14136323))"
7,0.0002740576,"cos(sin(x + -0.13154101)) - -0.0039526965"
9,0.0002723303,"exp(((0.22076406 - x) * 0.4809209) * sin(x))"
11,0.00027171453,"exp(((sin(x) * 0.49251926) + -0.011426403) * (0.21551129 - x))"
12,0.00027052546,"exp((x * (0.22866654 - x)) / exp(tanh(x + 0.4062786)))"
14,0.00026884672,"exp(((0.23210059 - x) * (x - 0.019731265)) / exp(tanh(0.3293607 + x)))"
17,0.00026790815,"exp(sin(x * ((0.23210059 - x) / tanh(exp(-2.4687045 * (0.32490557 - x))))) * 0.45170888)"
18,0.00026771004,"exp(sin((x * (0.22761895 - x)) / tanh(exp(sin(-1.0454681 - (-3.114457 * x))))) * 0.4479229)"
19,0.00026642188,"exp(sin((x * (0.23221758 - x)) / tanh(exp(x * ((0.24708942 - x) * -3.559699)))) * 0.45405838)"
