Complexity,Loss,Equation
1,0.00073702185,"x"
3,0.0007356264,"x / 0.9979764"
5,0.0007299345,"(x * 1.00911) - 0.0047362708"
6,0.00072655175,"tanh(x * 29.413595) * x"
7,0.00070171244,"(0.00011009036 / (-0.05650063 + x)) + x"
8,0.0006490391,"x + (sin(x / 0.015675595) * -0.013636324)"
9,0.00064903905,"tanh(-0.013637169 * sin(x / 0.015675595)) + x"
10,0.0006246974,"(sin((x / 0.015987147) + 0.8290283) * -0.013644693) + x"
13,0.0006143311,"(sin((x + cos(x * 0.22992273)) / 0.015696686) * -0.013643539) + x"
15,0.00058751507,"(tanh(inv(sin((cos(x * -0.23318602) + x) / 0.015730018))) * -0.013639779) + x"
16,0.0005840933,"(tanh(sin((x + cos(x * 0.22992265)) / 0.015724242) * 63.596073) * -0.012465744) + x"
