Complexity,Loss,Equation
1,0.03328385,"0.6324114"
3,0.0011603219,"inv(exp(x))"
4,0.001158662,"exp(x * -0.99547815)"
5,0.0011559341,"inv(exp(x) + 0.0042127157)"
6,0.0011443215,"exp(x * -0.9632323) - 0.010021318"
7,0.0011441072,"inv(exp(x + -0.022495007) + 0.032853186)"
8,0.001142754,"exp((x * -0.90131927) - -0.04078905) - 0.054495882"
9,0.0010520515,"(0.0003346533 / (x - 0.4149815)) + inv(exp(x))"
10,0.0010519162,"(0.0003346533 / tanh(x - 0.4149815)) + inv(exp(x))"
11,0.0010494414,"(0.0003328205 / (x - 0.41502228)) + inv(exp(x) + 0.003081813)"
14,0.0010309252,"inv(exp((0.014719487 / inv(cos(inv(cos(cos(x) / 0.6208911))))) + x))"
15,0.0010165676,"(0.0002847979 / (x - 0.41440114)) + inv(exp(x + (0.0002847979 / (x + -0.48371196))))"
16,0.0010164139,"(0.0002847979 / tanh(x - 0.41440114)) + inv(exp(x + (0.0002847979 / (x + -0.48371196))))"
