method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,84,0.0000000036,0.0000000000,3.8714890349,0.0000000000,-7729.5302506825,0.3060441100,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000086900,0.0000000000
PISR-NSGA-II,Poisson_1D,2,0.0159970181,0.0000000000,0.0906830390,0.0000000000,-1588.2350670136,47.8812422760,0.0000034467
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000239290,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,148,0.0011865851,0.0000000000,0.0006114665,0.0000000000,-2646.7385784267,24.5513874580,0.0000003530
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000082900,0.0000000000
PISR-NSGA-II,Airy_1D,5,0.0002783145,0.0000000000,0.0003268008,0.0000000000,-3244.7462038281,21.6863869000,0.0000001358
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000117080,0.0000000000
PISR-NSGA-II,Fisher_1D,1,0.0079897770,0.0000000000,0.0019476822,0.0000000000,-1907.8711143244,1.7576140580,0.0000145351
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000160040,0.0000000000
PISR-NSGA-II,Duffing_1D,9,0.0558515907,0.0000000000,0.0656854522,0.0000000000,-1106.0911923273,41.5066720290,0.0140063692
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000257510,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,10,710.2557102071,0.0000000000,63.1798591403,0.0000000000,2656.2073469021,5.7456772910,0.0000797093
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000499980,0.0000000000
PISR-NSGA-II,Airy_2D,8,0.0038759633,0.0000000000,0.0643431004,0.0000000000,-2119.3295225533,117.9182399710,0.0004456741
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0428540260,0.0001682673
PISR-NSGA-II,Fisher_2D,2,0.0004339894,0.0000000000,0.0038565750,0.0000000000,-3043.0729549029,10.4898771510,0.0000812675
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0426149890,0.0000000000
PISR-NSGA-II,Duffing_2D,4,0.0286954513,0.0000000000,0.0256698265,0.0000000000,-1324.5432317269,161.4899799670,0.0001279990
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1559595290,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,6,148.0912587823,0.0000000000,2.2771555421,0.0000000000,2059.0461243232,8.2216292490,0.0016678871
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1469191540,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,130,0.0113183693,0.0728420316,0.4601760284,0.0481095139,-942.0805904472,84.3598682890,0.0216142153
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,8,0.0000490658,0.1132907772,0.1142644815,0.0545511117,-787.0653016797,53.5654401790,0.1920970008
PISR-NSGA-II,Lane-Emden_1D,3,3.0169042219,0.0000000000,0.2684884682,0.0000000000,465.6583436083,5.1606542270,0.0001454479
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000716070,0.0000000000
PISR-NSGA-II,Troesch_1D,3,1.0850528438,0.0000000000,0.7969353478,0.0000000000,68.6002631829,5.9027302070,0.0023133773
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000526300,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,1,0.0376384891,0.0000000000,0.0063402408,0.0000000000,-1293.9168483967,2.2585345800,0.0003091145
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000290630,0.0000000000
PISR-NSGA-II,Painleve-I_1D,1,0.5682232534,0.0000000000,0.0358889290,0.0000000000,-208.1219606772,2.4097856080,0.0001659494
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000161000,0.0000000000
