Complexity,Loss,Equation
1,0.013582889,"x"
2,0.0009131847,"tanh(x)"
3,0.00027374167,"x * 0.80067915"
4,1.5251891e-6,"sin(x * 0.8643048)"
6,2.616913e-7,"tanh(0.67032003 * x) / 0.7701946"
7,3.742058e-8,"(sin(sin(x)) + x) * 0.4365188"
9,4.3374185e-10,"(x * 0.43222648) - (sin(sin(x)) * -0.4416493)"
11,3.4423991e-10,"((x + -5.4441727e-5) - (sin(sin(x)) * -1.0225191)) * 0.43210566"
13,2.50279e-10,"(x + sin(sin(((x * 0.0022704236) - -1.0059334) * x))) * 0.435512"
15,1.957046e-10,"(x + sin((x * (x * 0.0034546466)) - sin(x * -1.0084394))) * 0.43492964"
16,1.9569822e-10,"(x + sin((x * sin(x * 0.0034426516)) - sin(x * -1.0084227))) * 0.4349337"
18,1.9569693e-10,"(x + sin(tanh(tanh(tanh((x * x) * 0.003442665))) - sin(x * -1.0084227))) * 0.4349337"
