method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Lane-Emden,1,-1,1000.3371440950,0.0000000000,11,9
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,1338.3274369667,0.0000000000,4,6
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,1345.2846884003,0.0000000000,7,7
PISR-NSGA-II,Lane-Emden,1,-1,522.7978389190,0.0000000000,3,1
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,2656.6444918332,0.0000000000,5,14
PISR-NSGA-II,Lane-Emden,1,-1,1037.8234776410,0.0000000000,9,8
PISR-NSGA-II,Lane-Emden,1,-1,1653.1148631715,0.0000000000,3,17
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,24
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418094,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,556.9162191018,0.0000000000,2,1
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,26
PISR-NSGA-II,Lane-Emden,1,-1,1365.4869855566,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,1365.4869855566,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,1996.5111853580,0.0000000000,8,17
PISR-NSGA-II,Lane-Emden,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,28
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,743.4308695982,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418094,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,1195.8819627166,0.0000000000,9,19
PISR-NSGA-II,Lane-Emden,1,-1,1296.5640228681,0.0000000000,3,5
PISR-NSGA-II,Lane-Emden,1,-1,507.3145420431,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,1453.7507376405,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,2126.5149656408,0.0000000000,3,6
PISR-NSGA-II,Lane-Emden,1,-1,2121.8789418621,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,1365.4869855566,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,1471.5384891551,0.0000000000,2,20
PISR-NSGA-II,Lane-Emden,1,-1,2727.9986159237,0.0000000000,20,23
PISR-NSGA-II,Lane-Emden,1,-1,2114.0003313567,0.0000000000,11,19
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,1275.0332669870,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,10000.0000000000,0.0000000000,1,27
PISR-NSGA-II,Lane-Emden,1,-1,757.9511303059,0.0000000000,3,3
PISR-NSGA-II,Lane-Emden,1,-1,2009.5192802609,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,5462.9092752741,0.0000000000,8,22
PISR-NSGA-II,Lane-Emden,1,-1,10000.0000000000,0.0000000000,1,27
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,10000.0000000000,0.0000000000,22,21
PISR-NSGA-II,Lane-Emden,1,-1,1337.3412342191,0.0000000000,11,17
PISR-NSGA-II,Lane-Emden,1,-1,10000.0000000000,0.0000000000,1,27
PISR-NSGA-II,Lane-Emden,1,-1,507.3145418094,0.0000000000,1,25
PISR-NSGA-II,Lane-Emden,1,-1,1246.1223216533,0.0000000000,3,4
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,561.7957995736,0.0000000000,1,1
PISR-NSGA-II,Lane-Emden,1,-1,1243.0357253701,0.0000000000,8,18
PISR-NSGA-II,Lane-Emden,1,-1,1936.4490271987,0.0000000000,1,24
PISR-NSGA-II,Lane-Emden,1,-1,9980.0329992155,0.0000000000,13,22
