method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,59,0.0000000010,0.0000000000,4.3938538710,0.0000000000,-8241.7051429492,0.3367817490,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000080890,0.0000000000
PISR-NSGA-II,Poisson_1D,1,2.6724988137,0.0000000000,2.0417249043,0.0000000000,441.1372843823,63.1468683640,0.0018715235
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000257620,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,124,0.0011865851,0.0000000000,0.0121630771,0.0000000000,-2646.7385784615,46.3023690430,0.0000003530
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000144010,0.0000000000
PISR-NSGA-II,Airy_1D,2,0.0002783145,0.0000000000,0.0007954454,0.0000000000,-3244.7462038281,24.5960255960,0.0000001358
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000082270,0.0000000000
PISR-NSGA-II,Fisher_1D,2,0.0000227200,0.0000000000,0.0000091534,0.0000000000,-4234.9660471328,4.1480835220,0.0000000153
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000154030,0.0000000000
PISR-NSGA-II,Duffing_1D,146,0.3544516020,0.0000000000,0.0014206695,0.0000000000,-354.9587413574,50.1856939190,0.0032298056
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000249570,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,3,173.6037844091,0.0000000000,102.1172180829,0.0000000000,2098.6590279148,4.2942605170,0.0279935934
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000503010,0.0000000000
PISR-NSGA-II,Airy_2D,6,0.0038139856,0.0000000000,0.0844329435,0.0000000000,-2155.7346453150,121.4894311040,0.0004514425
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0448522580,0.0001682673
PISR-NSGA-II,Fisher_2D,2,0.0004406985,0.0000000000,0.0028014607,0.0000000000,-3036.9366388056,10.8725887290,0.0000807441
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0463735220,0.0000000000
PISR-NSGA-II,Duffing_2D,2,0.0134628029,0.0000000000,0.0504436126,0.0000000000,-1615.2835327913,186.5004378810,0.0001472289
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1566807120,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,4,504.7581668125,0.0000000000,11.5400268772,0.0000000000,2531.5720266209,7.4363108190,0.0001097198
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1432478540,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,128,0.0065973014,0.0711058708,0.0359079716,0.2163655832,-938.0631746566,85.8208725830,0.0227868938
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,57,0.0063809783,0.1492102297,0.0122755282,0.2326578712,-684.2946236408,79.2196758170,0.1901932334
PISR-NSGA-II,Lane-Emden_1D,1,0.0208209962,0.0000000000,0.0003554359,0.0000000000,-1500.7856318737,8.8052232500,0.0016787825
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000932790,0.0000000000
PISR-NSGA-II,Troesch_1D,3,5.7373979954,0.0000000000,5.2399953522,0.0000000000,734.7511059434,4.1754948980,0.0007109344
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000643620,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,1,0.0318810207,0.0000000000,0.0043431643,0.0000000000,-1342.3489764444,2.3374725820,0.0002110360
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000277510,0.0000000000
PISR-NSGA-II,Painleve-I_1D,1,0.0659780936,0.0000000000,0.0251456826,0.0000000000,-1051.4242153530,1.8578864290,0.0020261354
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000159350,0.0000000000
