Complexity,Loss,Equation
1,0.004575146,"0.63434845"
3,0.0023934767,"cos(cos(x))"
4,0.00024427136,"cos(cos(tanh(x)))"
5,7.5448246e-5,"(x * 0.23007984) + 0.51930726"
6,2.098394e-6,"(tanh(x) * 0.29881555) + 0.5048844"
7,1.6620803e-7,"tanh((sin(x) * 0.4495924) + 0.5501709)"
9,1.7854015e-8,"sin(sin((x * 0.5254232) + 0.70281017) + -0.122374825)"
10,1.4385068e-9,"tanh((x * 0.5629869) + 0.5493575) + (x * -0.07368595)"
16,1.3180556e-9,"tanh((x * (0.39809942 + 0.16502216)) + 0.54823285) + ((-0.022313848 + (x + x)) * -0.037091546)"
18,1.3178794e-9,"(((x + -0.022313848) + x) * -0.037091557) + tanh(((x * 0.16502216) + (x * 0.39809942)) + 0.54823285)"
20,1.2298154e-9,"(((x + x) + -0.11117253) * -0.03724469) + tanh(((x * 0.39669845) + 0.5439054) + sin(sin(x * 0.16370276)))"
