Complexity,Loss,Equation
1,0.01491641,"0.8550543"
2,0.000588375,"cos(x)"
3,0.0004849847,"cos(sin(x))"
4,7.482826e-5,"cos(x * -0.94184154)"
6,4.075451e-5,"cos((x + 0.048146885) * 0.8877502)"
7,3.253598e-5,"cos(cos(x * 0.40737286) * x)"
8,3.21262e-5,"cos(x * ((x * 0.11601721) - 1.0377612))"
10,3.2086893e-5,"cos(((x * 0.12169907) - 1.0456496) * (x + -0.002666503))"
11,3.192731e-5,"cos(x * cos((x - -0.17015445) * 0.3465961)) + -0.0010978046"
14,3.0282503e-5,"cos(x * cos((x * 0.40234992) + (sin(x / -0.016803773) * -0.016805355)))"
15,2.9712643e-5,"cos(cos(tanh((sin(x / -0.016805355) * -0.019131863) + (x * 0.4264496))) * x)"
16,2.9601479e-5,"cos(cos((sin(x / -0.016840862) * -0.018000664) + tanh(sin(x * 0.4348436))) * x)"
17,2.9580628e-5,"cos(cos(sin(tanh(x * 0.4348436)) + (sin(sin(x / -0.01684085)) * -0.018000662)) * x)"
18,2.915252e-5,"cos(x * cos(tanh((tanh(sin(x / -0.016847923) / 0.22260053) * -0.016805908) + (x * 0.42644095))))"
19,2.9152512e-5,"cos(x * cos(tanh(sin(tanh(sin(x / -0.016847925) / 0.22260053) * -0.016806701) + (x * 0.42644095))))"
