Complexity,Loss,Equation
1,0.013806776,"x"
2,0.0013090151,"tanh(x)"
3,0.00070620776,"x * 0.8022436"
4,0.00043155366,"sin(x * 0.8662932)"
6,0.000429841,"sin(x * 0.8721702) + -0.0029789682"
8,0.00042717977,"sin((x + 0.037510578) * 0.8898772) + -0.03905934"
9,0.0004257034,"x * sin(sin(x) / (x + -0.020648671))"
11,0.0004165431,"(x * sin(sin(x) / (x + -0.025078153))) - 0.0036306619"
13,0.00041180287,"sin(1.0270633 * ((sin(x / (-0.020368038 + x)) * x) + -0.009611779))"
15,0.00041112583,"((x * sin((sin(x) / (x + -0.020368038)) + -0.010469995)) * 1.0270633) + -0.009611187"
17,0.000409482,"(x * sin((sin(x) / (x + -0.025078153)) + ((x + 0.013994699) - x))) + -0.0074398303"
20,0.00039784118,"sin((sin(sin(x / ((tanh(x) + x) + -0.4179717)) + 1.5286914) * 0.6887561) + 0.5625888) * sin(x)"
