Complexity,Loss,Equation
1,0.03446754,"0.6515902"
3,0.021272687,"inv(exp(y))"
4,0.01787917,"inv(1.0850874 + y)"
5,0.0051719225,"cos(y) * cos(x)"
6,0.0049456256,"cos(tanh(x) + tanh(y))"
7,0.0020444617,"cos(tanh(x) + tanh(tanh(y)))"
8,0.0014444237,"cos(tanh(sin(y)) + tanh(sin(x)))"
9,0.00027212664,"cos((tanh(x) * cos(y)) + sin(y))"
11,0.0002654846,"cos((cos(y * 0.9855117) * tanh(x)) + sin(y))"
12,9.2689224e-5,"cos((cos(tanh(y) + 0.2024536) * sin(x)) + sin(y))"
14,5.2836727e-5,"cos(sin(cos(tanh(y) + (x * 0.32882735)) * x) + sin(y))"
15,4.317007e-5,"cos(sin(y) + (cos(tanh((y * sin(x)) + y)) * sin(x)))"
16,3.331544e-5,"cos(sin(y) + (sin(x) * cos(tanh(y) + (tanh(tanh(x)) * 0.36248627))))"
17,3.2403423e-5,"cos((sin(x) * cos(tanh(y) + (tanh(sin(sin(x))) * 0.3654329))) + sin(y))"
18,2.6664577e-5,"cos(sin(y) + (cos(sin(tanh(y) + tanh(tanh(tanh(x)) * y))) * sin(x)))"
20,1.8988154e-5,"cos(sin(y) + (sin(x) * cos(sin((y * tanh(tanh(tanh(x)))) + tanh(y + 0.033086743)))))"
