Complexity,Loss,Equation
1,0.00085182075,"y"
3,0.00085060456,"y - 0.0011018518"
5,0.0008501914,"(y * 1.0021558) + -0.0021806401"
6,0.00085010164,"y + (-0.0019828377 / exp(y))"
7,0.00084834266,"y + (7.965669e-5 / (y - 0.22469433))"
9,0.0008462448,"(9.170304e-5 / (y - 0.22469485)) + (y + -0.0014821851)"
10,0.0008462226,"y + ((9.058896e-5 / (sin(y) - 0.22469488)) + -0.0014821852)"
11,0.00084085314,"y + (0.00015173653 / (x + ((x - y) - 1.0943226)))"
12,0.0008408476,"y + (0.00015173653 / sin((x + (x - y)) - 1.0943226))"
13,0.0008392873,"(y + (0.00016816989 / ((x - y) + (x - 1.093807)))) + -0.0010300729"
15,0.00083921995,"y + (((0.00016816989 / (((x - 1.093807) - y) + x)) - 0.00016816989) + -0.0010300729)"
