Complexity,Loss,Equation
1,0.0046024416,"0.6200585"
3,0.0029728475,"cos(cos(x))"
4,0.00020872828,"cos(cos(tanh(x)))"
5,4.575672e-6,"(x * 0.23257741) + 0.50377995"
6,5.814901e-8,"cos((x * -0.2978357) + 1.0478907)"
8,1.7959623e-8,"((x + sin(x)) * 0.12534322) + 0.49982592"
10,7.2686074e-10,"(sin(x) * 0.11809399) + (0.50004745 + (x * 0.13155931))"
11,2.7330233e-10,"sin((sin(x) * 0.105107166) + (x * 0.14465752)) + 0.50003296"
15,2.4734213e-11,"((sin((sin(x) * 0.1279266) + (x * 0.8207614)) + x) * 0.12832622) + 0.49999014"
16,2.6185963e-12,"((x + sin((x + sin(sin(x) * 0.13954732)) * 0.83429426)) * 0.12816818) + 0.49999708"
