Complexity,Loss,Equation
1,0.06329643,"x"
2,0.04021565,"tanh(x)"
3,0.007834369,"x * x"
4,0.0037060578,"x * tanh(x)"
5,0.0014983588,"x * (x - 0.13752602)"
6,0.0001209065,"0.031075783 * exp(x / 0.29025012)"
7,7.734143e-5,"(exp(exp(x)) * 0.06559075) * x"
8,7.6048615e-5,"exp(exp(x)) * tanh(x * 0.06566466)"
9,3.8645645e-5,"(x * exp(exp(x + -0.05922762))) * 0.075276904"
10,9.15639e-6,"exp((x * x) * 1.3414801) * (0.25737122 * x)"
11,6.0403268e-6,"(exp((x * x) * 1.5972494) * tanh(x)) * 0.26250073"
12,5.286528e-6,"(exp((x * x) * 1.4805115) - -0.2602661) * (x * 0.21269058)"
13,1.9474708e-6,"(x * 0.26552552) * exp((exp(x) * (x - 0.16869774)) * 0.58400303)"
14,1.3423941e-6,"(exp(exp(x * (x - 0.63748014))) * 0.086916625) * (exp(x) * x)"
15,1.3195066e-6,"exp(tanh(x)) * (0.083062604 * (exp(exp((x - 0.4548072) * x)) * x))"
16,8.946987e-7,"((exp(exp(x * (x - 0.60535616))) * exp(x * 0.93293995)) * x) * 0.08886257"
18,8.7058265e-7,"exp(x * 0.9686166) * (((x * 0.087185234) * exp(exp((x - 0.6182219) * x))) + 0.0006613211)"
19,7.6643465e-7,"exp(tanh(x)) * (((x + 0.01089453) * exp(exp(((x - 0.39248207) * 0.9355706) * x))) * 0.07886063)"
