Complexity,Loss,Equation
1,0.012243632,"0.86535734"
2,0.0015468453,"cos(x)"
3,3.143903e-5,"cos(sin(x))"
5,7.3257706e-6,"cos(sin(x) * 1.0150818)"
7,2.6386286e-7,"cos(tanh(x * 0.67113423) * -1.4793758)"
8,1.4568407e-8,"cos(cos(tanh(x * 0.5804184)) * x)"
10,2.7146302e-10,"cos(cos(tanh(x * 0.5462206) * -1.0529846) * x)"
12,1.3076396e-10,"cos(x * cos(tanh((x * 0.54561764) - -0.0004678373) * -1.0530885))"
13,3.5065707e-11,"cos(cos(cos(tanh(x * -0.45994467)) * (x * 0.5765382)) * x)"
15,2.7694071e-11,"cos((x * 0.99995357) * cos((x * 0.5763617) * cos(tanh(x * -0.4595398))))"
17,2.3168687e-11,"cos(cos((cos(tanh(x * -0.45953622)) * 0.5764113) * x) * (x * 0.99997365)) * 1.0000011"
