Complexity,Loss,Equation
1,0.012243632,"0.86535114"
2,0.0015468453,"cos(x)"
3,3.143903e-5,"cos(sin(x))"
5,7.325775e-6,"cos(sin(x) * -1.0150801)"
7,1.8343675e-7,"cos(sin(x / -1.1125633) * -1.1037107)"
8,4.730193e-8,"exp(tanh(tanh(x * -0.5014436)) * x)"
9,3.774573e-9,"exp((x * tanh(x * 0.68250597)) * -0.7308049)"
10,2.3948594e-9,"exp((tanh(tanh(x * -0.48691905)) * 1.0245295) * x)"
12,2.3761453e-9,"exp((tanh(tanh((x - 0.0002624692) * -0.4908708)) * x) * 1.0180148)"
13,1.4283034e-9,"exp((x * (((tanh(x) * x) * 0.08794849) + -0.5009245)) * x)"
15,5.989763e-11,"exp((x * x) * (((tanh(x) * (x - 0.069989905)) * 0.09165536) + -0.49871716))"
17,5.989661e-11,"exp(((x * -0.49871713) + ((tanh(x) * (x * (x - 0.069989905))) * 0.091655366)) * x)"
