Complexity,Loss,Equation
1,0.03345467,"0.63263166"
3,8.099132e-14,"inv(exp(x))"
4,7.786071e-14,"exp(-3.51285e-8 - x)"
8,7.413212e-14,"exp((2.7503433e-9 / (0.03441987 - x)) - x)"
10,7.3850716e-14,"exp((2.7503433e-9 / ((0.03441987 - x) / 0.78320736)) - x)"
12,7.3534135e-14,"exp(x - ((-2.0061464e-9 / (0.03441987 - x)) + (x + x)))"
14,7.2795455e-14,"exp((x - (x + x)) - 2.1203672e-8) + (2.7503433e-9 / (0.03441987 - x))"
16,7.243491e-14,"(exp((x - (x + x)) - 2.1203672e-8) + (2.7503433e-9 / (0.03441987 - x))) + 2.1203672e-8"
17,7.2303e-14,"(2.7503433e-9 / (0.03441987 - x)) + exp(x - ((x + x) + (exp(x) * 2.1203672e-8)))"
20,7.195125e-14,"(2.7503433e-9 / ((0.03441987 - x) / exp(x))) + exp(x - ((exp(x) * 2.1203672e-8) + (x + x)))"
