Complexity,Loss,Equation
1,0.0029480879,"x"
3,0.0029425062,"x * 1.0040814"
5,0.0029197389,"(x * 1.0182201) + -0.009472631"
7,0.0028719837,"x + (-0.0007013117 / (x + 0.010350226))"
8,0.0025736918,"(cos(x / 0.016274266) * -0.025587512) + x"
9,0.002569579,"(sin(cos(x / 0.016295966)) * -0.026133811) + x"
10,0.0025065471,"x + (sin((x / 0.01609654) + 0.9782874) * -0.03069489)"
11,0.0024901156,"(sin(cos(x) + (x / 0.015955146)) * -0.03305424) + x"
12,0.0024401008,"(-0.02558572 * tanh(inv(cos((x + -1.3280535) / 0.016183147)))) + x"
15,0.0023958385,"(cos((x / 0.01609654) + (cos(x / 0.01609654) + -0.5612541)) * -0.033116207) + x"
17,0.0023702248,"(sin(inv(-0.1272435 + tanh(sin(inv(sin(-0.1228701 + x)))))) * 0.025954606) + (x / 1.0197313)"
18,0.0023012413,"(sin(inv(sin(tanh(sin(inv(sin(x + -0.1228974))))) + -0.12728396)) * 0.027465813) + (x / 1.0173153)"
