t,u
0.001,1.0
0.006004004004004004,0.9952571106226367
0.011008008008008007,0.99085350415082
0.016012012012012012,0.986688602361717
0.021016016016016017,0.9827189035167865
0.02602002002002002,0.9789181038929655
0.031024024024024023,0.9752680216955637
0.03602802802802803,0.9717550982493631
0.04103203203203203,0.9683687098504196
0.04603603603603604,0.9651002366936737
0.05104004004004004,0.961942500573066
0.05604404404404405,0.9588894022101071
0.061048048048048045,0.9559356752123619
0.06605205205205206,0.9530767124064422
0.07105605605605606,0.9503084391992881
0.07606006006006007,0.9476272187700602
0.08106406406406406,0.9450297794036292
0.08606806806806806,0.9425131577809536
0.09107207207207207,0.9400746540041702
0.09607607607607607,0.9377117952797227
0.10108008008008008,0.9354223062533528
0.10608408408408408,0.9332040846885894
0.1110880880880881,0.9310551810899004
0.11609209209209209,0.9289737814947019
0.12109609609609609,0.9269581929341465
0.1261001001001001,0.9250068310428203
0.1311041041041041,0.9231182094020405
0.1361081081081081,0.9212909300879891
0.1411121121121121,0.9195236759054469
0.1461161161161161,0.9178152029174609
0.15112012012012013,0.9161643346525625
0.15612412412412413,0.91456995628256
0.16112812812812813,0.9130310098431839
0.16613213213213213,0.9115464898331956
0.17113613613613612,0.9101154394525736
0.17614014014014015,0.9087369469957823
0.18114414414414415,0.9074101426739675
0.18614814814814815,0.9061341958062435
0.19115215215215214,0.9049083121974563
0.19615615615615617,0.9037317318967881
0.20116016016016017,0.9026037269710472
0.20616416416416417,0.9015235995266148
0.21116816816816816,0.9004906799988387
0.21617217217217216,0.899504325452295
0.2211761761761762,0.8985639180987458
0.22618018018018018,0.8976688639003925
0.23118418418418418,0.8968185912865151
0.23618818818818818,0.896012549966692
0.24119219219219218,0.8952502098314299
0.2461961961961962,0.8945310599320748
0.2512002002002002,0.8938546075327899
0.2562042042042042,0.8932203772281682
0.2612082082082082,0.8926279101207445
0.2662122122122122,0.8920767630532687
0.2712162162162162,0.8915665078911366
0.27622022022022025,0.8910967308508388
0.2812242242242242,0.8906670318707
0.28622822822822824,0.8902770240205443
0.2912322322322322,0.8899263329472479
0.29623623623623624,0.889614596353419
0.30124024024024026,0.8893414635067117
0.30624424424424423,0.8891065947774972
0.31124824824824826,0.8889096612028248
0.31625225225225223,0.8887503440747875
0.32125625625625626,0.8886283345515681
0.3262602602602603,0.8885433332895896
0.33126426426426425,0.8884950500953268
0.3362682682682683,0.8884832036024686
0.34127227227227225,0.8885075209302049
0.3462762762762763,0.8885677374297823
0.3512802802802803,0.8886635963811397
0.35628428428428427,0.88879484871618
0.3612882882882883,0.8889612527734407
0.36629229229229227,0.8891625740617076
0.3712962962962963,0.889398585020598
0.3763003003003003,0.8896690648015442
0.3813043043043043,0.8899737990618026
0.3863083083083083,0.8903125797630802
0.39131231231231234,0.8906852049918177
0.3963163163163163,0.8910914787387606
0.40132032032032033,0.8915312107991369
0.4063243243243243,0.8920042165245615
0.41132832832832833,0.8925103166536305
0.41633233233233236,0.893049337293051
0.4213363363363363,0.8936211096484135
0.42634034034034035,0.8942254699203932
0.4313443443443443,0.8948622591352287
0.43634834834834835,0.8955313230352132
0.4413523523523524,0.896232512146308
0.44635635635635634,0.8969656812025042
0.45136036036036037,0.8977306895285575
0.45636436436436434,0.8985274007054035
0.46136836836836836,0.8993556822635328
0.4663723723723724,0.9002154060928159
0.47137637637637636,0.9011064478602546
0.4763803803803804,0.902028687081037
0.48138438438438436,0.9029820072711621
0.4863883883883884,0.9039662952561806
0.4913923923923924,0.9049814419727357
0.4963963963963964,0.9060273413747922
0.5014004004004003,0.90710389132711
0.5064044044044044,0.9082109926959671
0.5114084084084084,0.909348549958475
0.5164124124124124,0.910516470604441
0.5214164164164165,0.9117146654517526
0.5264204204204204,0.9129430483396216
0.5314244244244244,0.9142015361792803
0.5364284284284284,0.9154900488990486
0.5414324324324324,0.9168085092778863
0.5464364364364365,0.9181568431006634
0.5514404404404405,0.919534978770815
0.5564444444444444,0.9209428476638506
0.5614484484484484,0.922380383861878
0.5664524524524525,0.9238475237315588
0.5714564564564565,0.9253442070475244
0.5764604604604605,0.9268703751206635
0.5814644644644644,0.9284259728323814
0.5864684684684685,0.9300109468327095
0.5914724724724725,0.9316252464661654
0.5964764764764765,0.9332688236625238
0.6014804804804805,0.9349416321675349
0.6064844844844844,0.9366436289087955
0.6114884884884885,0.9383747721524482
0.6164924924924925,0.9401350232654239
0.6214964964964965,0.9419243454110038
0.6265005005005005,0.9437427036470754
0.6315045045045045,0.9455900661905442
0.6365085085085085,0.9474664023650322
0.6415125125125125,0.9493716838798665
0.6465165165165165,0.9513058851640334
0.6515205205205206,0.9532689815371995
0.6565245245245245,0.9552609512508123
0.6615285285285285,0.9572817745537018
0.6665325325325325,0.9593314326799217
0.6715365365365366,0.9614099100312973
0.6765405405405406,0.9635171924609619
0.6815445445445445,0.9656532670237659
0.6865485485485485,0.9678181239149763
0.6915525525525525,0.9700117544227919
0.6965565565565566,0.9722341512976768
0.7015605605605606,0.9744853102246086
0.7065645645645645,0.9767652279512553
0.7115685685685685,0.9790739022429412
0.7165725725725726,0.9814113345122777
0.7215765765765766,0.9837775268455043
0.7265805805805806,0.9861724820719547
0.7315845845845845,0.9885962061994937
0.7365885885885886,0.9910487070320662
0.7415925925925926,0.9935299930819995
0.7465965965965966,0.996040073990065
0.7516006006006006,0.9985789629817198
0.7566046046046047,1.0011466738943398
0.7616086086086086,1.0037432215485338
0.7666126126126126,1.0063686227164057
0.7716166166166166,1.0090228968987562
0.7766206206206206,1.0117060640403444
0.7816246246246247,1.0144181449088834
0.7866286286286286,1.0171591635547732
0.7916326326326326,1.0199291450775394
0.7966366366366366,1.0227281157975638
0.8016406406406407,1.0255561019110102
0.8066446446446447,1.028413134331115
