Complexity,Loss,Equation
1,0.006642891,"0.7172566"
4,0.004013768,"tanh(tanh(exp(x)))"
5,0.0033505626,"(x * 0.19245268) + 0.6210285"
6,0.00039288122,"cos(cos(tanh(y + x)))"
7,5.8233913e-5,"((y + x) * 0.19245616) + 0.5247986"
8,1.856461e-5,"sin(((y + x) * 0.2800344) + 0.52706975)"
10,1.8420464e-5,"sin(((x + y) * 0.28863505) + 0.53393495) * 0.98594713"
12,1.504296e-5,"sin((((tanh(exp(x)) * x) + y) * 0.27950948) + 0.5346503)"
14,1.4929323e-5,"sin(((y + (tanh(exp(x * 0.9206915)) * x)) * 0.27965608) + 0.5349661)"
15,7.924069e-6,"sin(((y + (tanh(exp(x / exp(y))) * x)) * 0.2926244) + 0.52869314)"
16,5.8810488e-6,"sin(((x + y) * (tanh(exp(cos(cos(x - y)))) * 0.29600894)) + 0.52605367)"
20,4.798029e-6,"sin(0.52676266 + (((tanh(exp(x / (-0.24703039 + exp(sin(y + y))))) * x) + y) * 0.29628298))"
