method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,77,0.0000000011,0.0000000000,3.9556616899,0.0000000000,-8195.5545530939,0.2670839800,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000082520,0.0000000000
PISR-NSGA-II,Poisson_1D,2,0.0159970181,0.0000000000,0.0820184153,0.0000000000,-1612.2009252020,59.7036794590,0.0000034467
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000303690,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,148,0.0011865851,0.0000000000,0.0008996456,0.0000000000,-2646.7385783719,31.8549045120,0.0000003530
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000087020,0.0000000000
PISR-NSGA-II,Airy_1D,5,0.0000001274,0.0000000000,0.1277125137,0.0000000000,-6290.6127283670,3.8766103650,0.0000000000
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000175970,0.0000000000
PISR-NSGA-II,Fisher_1D,2,0.0000248096,0.0000000000,0.0000128066,0.0000000000,-4205.7624246839,4.4237561390,0.0000000165
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000162540,0.0000000000
PISR-NSGA-II,Duffing_1D,142,0.0715716567,0.0000000000,0.0021001310,0.0000000000,-1018.8736687886,38.9158995190,0.0134097757
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000248660,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,6,586.9440723513,0.0000000000,157.4748778017,0.0000000000,2597.9035316586,8.6746828160,0.9437506396
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000631120,0.0000000000
PISR-NSGA-II,Airy_2D,12,0.0293242423,0.0000000000,0.1567322790,0.0000000000,-1357.8131077567,109.3356959260,0.0004096398
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0428654750,0.0001682673
PISR-NSGA-II,Fisher_2D,3,0.0004443988,0.0000000000,0.0039802989,0.0000000000,-3033.5921109260,17.8460658580,0.0000804119
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0442473610,0.0000000000
PISR-NSGA-II,Duffing_2D,11,0.0455383898,0.0000000000,0.0533549161,0.0000000000,-1157.7907916956,204.8371393720,0.0000902885
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1566418280,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,2,55.0696824729,0.0000000000,0.2711398922,0.0000000000,1645.3799867801,10.4576843000,0.0000650079
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1459667310,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,137,0.0080708298,0.0673369940,0.0292676457,0.6197654799,-938.0742654767,92.6872828520,0.0242547373
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,125,0.0000000004,0.0000000025,0.0001074748,0.3205516702,-7737.0381167716,96.5758706370,0.3122669256
PISR-NSGA-II,Lane-Emden_1D,2,0.0217671666,0.0000000000,0.0213144480,0.0000000000,-1494.9922385998,7.1499627490,0.0017677899
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000711390,0.0000000000
PISR-NSGA-II,Troesch_1D,2,0.1945732443,0.0000000000,1.2293018742,0.0000000000,-618.8298565302,5.9336992880,0.0000429983
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000530930,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,2,0.0052864330,0.0000000000,0.0040943409,0.0000000000,-2061.0958328230,5.1169732990,0.0000039450
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000185630,0.0000000000
PISR-NSGA-II,Painleve-I_1D,1,0.5682232534,0.0000000000,0.0450849047,0.0000000000,-208.1219606772,2.0361316450,0.0001659494
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000161310,0.0000000000
