method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,77,0.0000000012,0.0000000000,4.2713538165,0.0000000000,-8169.7514205071,0.2605408580,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000085970,0.0000000000
PISR-NSGA-II,Poisson_1D,1,2.4425985546,0.0000000000,0.9456636129,0.0000000000,393.1737688844,54.8428937940,0.0117416095
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000196200,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,6,0.0011865851,0.0000000000,0.0189370364,0.0000000000,-2646.7385784158,39.8588499720,0.0000003530
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000092120,0.0000000000
PISR-NSGA-II,Airy_1D,11,0.0000013091,0.0000000000,0.0000010652,0.0000000000,-5322.5918256112,40.0936008430,0.0000000001
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000077510,0.0000000000
PISR-NSGA-II,Fisher_1D,1,0.0413678018,0.0000000000,0.0112349545,0.0000000000,-1256.1265803284,2.0014977770,0.0002648585
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000161180,0.0000000000
PISR-NSGA-II,Duffing_1D,10,0.0648898622,0.0000000000,0.0260224170,0.0000000000,-1052.0852976590,53.0398979350,0.0135647002
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000361950,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,4,711.1743760443,0.0000000000,154.4565352277,0.0000000000,2644.7414553880,4.9470279720,0.0016185332
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000438040,0.0000000000
PISR-NSGA-II,Airy_2D,9,0.0247605806,0.0000000000,0.0687079425,0.0000000000,-1395.5204486117,169.3455471190,0.0004515881
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0425524410,0.0001682673
PISR-NSGA-II,Fisher_2D,2,0.0001089220,0.0000000000,0.0016799135,0.0000000000,-3590.0368611528,13.9473702230,0.0000800642
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0427995130,0.0000000000
PISR-NSGA-II,Duffing_2D,10,0.0545784845,0.0000000000,0.1056127687,0.0000000000,-1097.3401024313,179.0057116110,0.0002053416
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1528531850,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,3,148.8528808519,0.0000000000,13.8127364642,0.0000000000,2061.0980220050,9.3940050410,0.0016678871
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1429111620,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,137,0.0194980827,0.0736245354,0.0530241195,0.1690576145,-859.6633037003,96.5812962180,0.0262508284
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,127,0.0440508028,0.7329279276,0.0036194932,0.0034863924,-41.0222757045,79.2107623650,0.7464709661
PISR-NSGA-II,Lane-Emden_1D,1,0.0248237829,0.0000000000,0.0006672618,0.0000000000,-1442.4324513850,5.2845027180,0.0015687697
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000914590,0.0000000000
PISR-NSGA-II,Troesch_1D,2,0.3624532613,0.0000000000,9.7497241553,0.0000000000,-381.9780407704,3.9635795250,0.0002366574
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000640110,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,1,0.0376384891,0.0000000000,0.0080833971,0.0000000000,-1293.9168483967,1.9362905230,0.0003091145
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000194570,0.0000000000
PISR-NSGA-II,Painleve-I_1D,2,0.5682232534,0.0000000000,0.0490935025,0.0000000000,-208.1219606772,1.8394303500,0.0001659494
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000169990,0.0000000000
