t,u,u_exact,u_approx
0.0,0.0,0.0,0.0
0.0012012012012012,0.0012012014957507,0.0012012014957507,0.0012012015202332513
0.0024024024024024,0.0024024047470504,0.0024024047470504,0.0024024049615913364
0.0036036036036036,0.0036036114861596,0.0036036114861596,0.003603612264283454
0.0048048048048048,0.0048048235451733,0.0048048235451733,0.004804825389378289
0.006006006006006,0.0060060427561866,0.0060060427561866,0.006006046318848112
0.0072072072072072,0.007207270951703,0.007207270951703,0.007207277055612783
0.0084084084084084,0.0084085100066158,0.0084085100066158,0.008408519623583648
0.0096096096096096,0.0096097617732026,0.0096097617732026,0.009609776067707342
0.0108108108108108,0.0108110282106061,0.0108110282106061,0.010811048454009506
0.012012012012012,0.0120123112779687,0.0120123112779687,0.012012338869638402
0.0132132132132132,0.0132136129344332,0.0132136129344332,0.013213649422908454
0.0144144144144144,0.0144149351999514,0.0144149351999514,0.014414982243343692
0.0156156156156156,0.0156162800039842,0.0156162800039842,0.015616339481721116
0.0168168168168168,0.0168176494406031,0.0168176494406031,0.016817723310114
0.018018018018018,0.0180190456115877,0.0180190456115877,0.018019135921935093
0.0192192192192192,0.019220470618718,0.019220470618718,0.019220579531979767
0.0204204204204204,0.0204219265637736,0.0204219265637736,0.020422056376469093
0.0216216216216216,0.021623415608204,0.021623415608204,0.021623568713092834
0.0228228228228228,0.0228249398440778,0.0228249398440778,0.022825118821052415
0.024024024024024,0.0240265015052143,0.0240265015052143,0.02402670900110377
0.0252252252252252,0.0252281028464846,0.0252281028464846,0.025228341575600204
0.0264264264264264,0.0264297461227597,0.0264297461227597,0.026430018888535134
0.0276276276276276,0.0276314335889107,0.0276314335889107,0.027631743305584835
0.0288288288288288,0.0288331675512323,0.0288331675512323,0.028833517214151103
0.03003003003003,0.0300349502597674,0.0300349502597674,0.030035343023403868
0.0312312312312312,0.0312367840863104,0.0312367840863104,0.03123722316432382
0.0324324324324324,0.032438671438958,0.032438671438958,0.032439160089744914
0.0336336336336336,0.0336406147258071,0.0336406147258071,0.03364115627439692
0.0348348348348348,0.0348426163549542,0.0348426163549542,0.03484321421494786
0.036036036036036,0.0360446787778255,0.0360446787778255,0.03604533643004653
0.0372372372372372,0.0372468044045447,0.0372468044045447,0.03724752546036484
0.0384384384384384,0.0384489957429025,0.0384489957429025,0.03844978386864029
0.0396396396396396,0.039651255354403,0.039651255354403,0.03965211423971833
0.0408408408408408,0.0408535858005505,0.0408535858005505,0.040854519180594705
0.042042042042042,0.0420559896428492,0.0420559896428492,0.042057001320457844
0.0432432432432432,0.0432584695066778,0.0432584695066778,0.0432595633107312
0.0444444444444444,0.0444610279317376,0.0444610279317376,0.04446220782511558
0.0456456456456456,0.0456636675231062,0.0456636675231062,0.04566493755963148
0.0468468468468468,0.0468663910167183,0.0468663910167183,0.04686775523266145
0.048048048048048,0.0480692011485087,0.0480692011485087,0.048070663584992394
0.0492492492492492,0.0492721006544123,0.0492721006544123,0.049273665379857945
0.0504504504504504,0.0504750922703639,0.0504750922703639,0.05047676340298082
0.0516516516516516,0.0516781787322983,0.0516781787322983,0.0516799604626152
0.0528528528528528,0.0528813629056951,0.0528813629056951,0.052883259389589085
0.054054054054054,0.0540846474433626,0.0540846474433626,0.05408666303734675
0.0552552552552552,0.0552880352583914,0.0552880352583914,0.05529017428199112
0.0564564564564564,0.0564915292754183,0.0564915292754183,0.05649379602232632
0.0576576576576576,0.0576951324190801,0.0576951324190801,0.05769753117990004
0.0588588588588588,0.0588988476140138,0.0588988476140138,0.05890138269904619
0.06006006006006,0.0601026777848561,0.0601026777848561,0.060105353546927365
0.0612612612612612,0.0613066259228382,0.0613066259228382,0.061309446713577506
0.0624624624624624,0.0625106949547176,0.0625106949547176,0.06251366521194449
0.0636636636636636,0.0637148878658756,0.0637148878658756,0.06371801207793287
0.0648648648648648,0.0649192077702045,0.0649192077702045,0.06492249037044663
0.066066066066066,0.0661236577815965,0.0661236577815965,0.06612710317143193
0.0672672672672672,0.0673282410139437,0.0673282410139437,0.06733185358592
0.0684684684684684,0.0685329605811383,0.0685329605811383,0.06853674474207007
