t,u,u_exact,u_approx
0.0,0.355028,0.355028,0.36787944119565597
0.01001001001001,0.3524372777843878,0.3524372777843878,0.36421533377924115
0.02002002002002,0.3498469101027656,0.3498469101027656,0.36058772115344195
0.03003003003003,0.3472572427735799,0.3472572427735799,0.3569962398273495
0.04004004004004,0.3446686191807637,0.3446686191807637,0.35344052993045216
0.05005005005005,0.3420813796151644,0.3420813796151644,0.3499202351765763
0.06006006006006,0.3394958545318678,0.3394958545318678,0.34643500282818585
0.07007007007007,0.3369123711107425,0.3369123711107425,0.3429844836610376
0.08008008008008,0.3343312540584048,0.3343312540584048,0.339568331929189
0.09009009009009,0.3317528192278917,0.3317528192278917,0.33618620533035304
0.1001001001001,0.329177377706043,0.329177377706043,0.33283776497160017
0.1101101101101101,0.3266052379112878,0.3266052379112878,0.3295226753354005
0.1201201201201201,0.3240367019146269,0.3240367019146269,0.3262406042460042
0.1301301301301301,0.3214720645176002,0.3214720645176002,0.3229912228361576
0.1401401401401401,0.3189116183646823,0.3189116183646823,0.31977420551415026
0.1501501501501501,0.3163556512633408,0.3163556512633408,0.3165892299311899
0.1601601601601601,0.3138044422160107,0.3138044422160107,0.3134359769491031
0.1701701701701701,0.311258268321747,0.311258268321747,0.31031413060835716
0.1801801801801801,0.308717402849005,0.308717402849005,0.3072233780964009
0.1901901901901901,0.3061821096494607,0.3061821096494607,0.3041634097163198
0.2002002002002001,0.3036526502321459,0.3036526502321459,0.3011339188558043
0.2102102102102102,0.3011292832510195,0.3011292832510195,0.29813460195642766
0.2202202202202202,0.2986122580584243,0.2986122580584243,0.2951651584832278
0.2302302302302302,0.2961018207049089,0.2961018207049089,0.2922252908945941
0.2402402402402402,0.2935982149141495,0.2935982149141495,0.2893147046124537
0.2502502502502503,0.2911016763309374,0.2911016763309374,0.28643310799275334
0.2602602602602603,0.2886124358453741,0.2886124358453741,0.2835802122962374
0.2702702702702703,0.2861307217154109,0.2861307217154109,0.2807557316595154
0.2802802802802803,0.2836567567938116,0.2836567567938116,0.27795938306641815
0.2902902902902903,0.2811907566985082,0.2811907566985082,0.2751908863196394
0.3003003003003003,0.2787329351835926,0.2787329351835926,0.2724499640126595
0.3103103103103103,0.2762835016388009,0.2762835016388009,0.2697363415019492
0.3203203203203203,0.2738426572231895,0.2738426572231895,0.26704974687944993
0.3303303303303303,0.271410601319188,0.271410601319188,0.26438991094532843
0.3403403403403403,0.2689875299318809,0.2689875299318809,0.2617565671810023
