t,u_exact,u_approx
0.0,0.355028,0.35502800000000007
0.01001001001001,0.3524372777843878,0.35228441253150705
0.02002002002002,0.3498469101027656,0.34922619976870156
0.03003003003003,0.3472572427735799,0.3458390960859584
0.04004004004004,0.3446686191807637,0.3421082990641498
0.05005005005005,0.3420813796151644,0.3380184506919184
0.06006006006006,0.3394958545318678,0.33355361793378296
0.07007007007007,0.3369123711107425,0.3286972726410894
0.08008008008008,0.3343312540584048,0.32343227078237696
0.09009009009009,0.3317528192278917,0.31774083097292355
0.1001001001001,0.329177377706043,0.3116045122766152
0.1101101101101101,0.3266052379112878,0.30500419125883915
0.1201201201201201,0.3240367019146269,0.29792003826643565
0.1301301301301301,0.3214720645176002,0.2903314929048818
0.1401401401401401,0.3189116183646823,0.2822172386893946
0.1501501501501501,0.3163556512633408,0.2735551768414009
0.1601601601601601,0.3138044422160107,0.2643223992020625
0.1701701701701701,0.311258268321747,0.2544951602334033
0.1801801801801801,0.308717402849005,0.24404884807735958
0.1901901901901901,0.3061821096494607,0.2329579546400112
0.2002002002002001,0.3036526502321459,0.22119604467045859
0.2102102102102102,0.3011292832510195,0.20873572379970864
0.2202202202202202,0.2986122580584243,0.19554860550575165
0.2302302302302302,0.2961018207049089,0.18160527696854667
0.2402402402402402,0.2935982149141495,0.16687526377880385
0.2502502502502503,0.2911016763309374,0.15132699346199552
0.2602602602602603,0.2886124358453741,0.13492775777866947
0.2702702702702703,0.2861307217154109,0.11764367376035292
0.2802802802802803,0.2836567567938116,0.09943964343915794
0.2902902902902903,0.2811907566985082,0.08027931222785065
0.3003003003003003,0.2787329351835926,0.06012502590561161
0.3103103103103103,0.2762835016388009,0.03893778616339083
0.3203203203203203,0.2738426572231895,0.01667720466133146
0.3303303303303303,0.271410601319188,-0.006698544451932614
0.3403403403403403,0.2689875299318809,-0.031232773607340232
0.3503503503503503,0.2665736304351166,-0.05697033252500201
0.3603603603603603,0.2641690879636886,-0.08395766061872162
0.3703703703703703,0.2617740851550218,-0.1122428411515948
0.3803803803803803,0.2593887963346814,-0.14187565720119796
0.3903903903903903,0.2570133926684793,-0.172907649493255
0.4004004004004003,0.2546480432311475,-0.20539217616654
0.4104104104104104,0.2522929101413318,-0.23938447453214928
0.4204204204204204,0.2499481509889715,-0.2749417248933912
0.4304304304304304,0.247613920984371,-0.3121231164944152
0.4404404404404404,0.2452903708890449,-0.35098991566768817
0.4504504504504504,0.2429776447329996,-0.3916055362532661
0.4604604604604604,0.2406758849890662,-0.4340356123646114
0.4704704704704704,0.2383852303953645,-0.4783480735787584
0.4804804804804805,0.2361058123755609,-0.5246132226305726
0.4904904904904905,0.2338377607628662,-0.5729038156941015
0.5005005005005005,0.2315812025596272,-0.623295145336132
0.5105105105105106,0.2293362572470607,-0.6758651262304786
0.5205205205205206,0.227103042260267,-0.7306943837235775
0.5305305305305306,0.224881672947603,-0.7878663453462065
0.5405405405405406,0.2226722576003793,-0.8474673353683808
0.5505505505505506,0.220474901625145,-0.909586672496605
0.5605605605605606,0.2182897086214191,-0.9743167708195393
0.5705705705705706,0.2161167765140479,-1.0417532441067012
0.5805805805805806,0.2139561990708169,-1.1119950135721575
0.5905905905905906,0.2118080681753157,-1.185144419218083
0.6006006006006006,0.2096724719883707,-1.2613073348736663
0.6106106106106106,0.2075494928826466,-1.3405932870544925
0.6206206206206206,0.2054392119394834,-1.423115577765839
0.6306306306306306,0.2033417071973254,-1.508991411380353
0.6406406406406406,0.201257050498199,-1.598342025726208
0.6506506506506506,0.1991853123159527,-1.6912928275210406
0.6606606606606606,0.1971265608608002,-1.7879735322982682
0.6706706706706707,0.1950808581002724,-1.888518308972113
0.6806806806806807,0.1930482642122415,-1.993065929193106
0.6906906906906907,0.1910288377034556,-2.1017599216551655
0.7007007007007007,0.1890226313816634,-2.214748731513147
0.7107107107107107,0.1870296955401956,-2.3321858850821444
0.7207207207207207,0.1850500789682403,-2.4542301599922673
0.7307307307307307,0.1830838260701686,-2.581045760975517
0.7407407407407407,0.181130977616325,-2.7128025014749597
0.7507507507507507,0.1791915729543163,-2.8496759912634224
0.7607607607607607,0.1772656484682142,-2.9918478302713996
0.7707707707707707,0.1753532357970902,-3.1395058088302457
0.7807807807807807,0.1734543655508739,-3.2928441145368863
0.7907907907907907,0.1715690659791736,-3.4520635459636244
0.8008008008008007,0.1696973603342897,-3.6173717334344544
0.8108108108108109,0.1678392707400201,-3.7889833671003132
0.8208208208208209,0.1659948175941294,-3.9671204325573615
0.8308308308308309,0.1641640163691297,-4.152012454250035
0.8408408408408409,0.1623468810436118,-4.343896746920517
0.8508508508508509,0.1605434243145181,-4.543018675367292
0.8608608608608609,0.1587536545144472,-4.749631922783029
0.8708708708708709,0.156977577890564,-4.9639987679605
0.8808808808808809,0.1552151994877416,-5.18639037165075
0.8908908908908909,0.1534665211563785,-5.417087072378871
0.9009009009009008,0.1517315417331011,-5.656378692029152
0.9109109109109108,0.1500102590344555,-5.9045648515144
0.9209209209209208,0.1483026686409031,-6.161955296869694
0.9309309309309308,0.1466087624431575,-6.428870236105895
0.9409409409409408,0.1449285315478292,-6.705640687178699
0.950950950950951,0.1432619653260893,-6.992608837442697
0.960960960960961,0.1416090493352907,-7.290128414958598
0.970970970970971,0.1399697682466234,-7.5985650720528595
0.980980980980981,0.1383441054824001,-7.918296781526656
0.990990990990991,0.1367320407973298,-8.249714245928164
1.001001001001001,0.1351335527654401,-8.593221320325421
1.011011011011011,0.13354861902492,-8.949235449011827
1.021021021021021,0.1319772140708552,-9.318188116610889
1.031031031031031,0.130419310766971,-9.700525314051328
1.0410410410410411,0.1288748810628107,-10.0967080198938
1.0510510510510511,0.1273438947364578,-10.507212697526095
1.0610610610610611,0.1258263192185404,-10.932531808735162
1.0710710710710711,0.1243221212527129,-11.373174344200061
1.0810810810810811,0.1228312659987885,-11.829666371464926
1.0910910910910911,0.1213537159271268,-12.302551600953015
1.1011011011011012,0.1198894329441721,-12.792391970630089
1.1111111111111112,0.1184383777599204,-13.29976824991753
1.1211211211211212,0.1170005083672296,-13.825280663488842
1.1311311311311312,0.1155757821064747,-14.369549535611494
1.1411411411411412,0.1141641554708482,-14.933215955691416
1.1511511511511512,0.1127655824156372,-15.516942465732324
1.1611611611611612,0.1113800160275443,-16.121413770421576
1.1711711711711712,0.1100074087521849,-16.747337470579332
1.1811811811811812,0.1086477109440663,-17.395444820754136
1.1911911911911912,0.1073008717767558,-18.066491511736903
1.2012012012012012,0.1059668397763138,-18.76125847882485
1.2112112112112112,0.1046455621199501,-19.480552736680327
1.2212212212212212,0.1033369843049746,-20.225208241641273
1.2312312312312312,0.1020410514043908,-20.99608678240788
1.2412412412412412,0.1007577074601054,-21.794078900014878
1.2512512512512513,0.0994868947232383,-22.620104838058396
1.2612612612612613,0.0982285550726822,-23.475115524179284
1.2712712712712713,0.0969826296321169,-24.360093583803504
1.2812812812812813,0.0957490577712059,-25.27605438722535
1.2912912912912913,0.0945277784237558,-26.224047131109163
1.3013013013013013,0.0933187299992993,-27.20515595553714
1.3113113113113113,0.0921218493309305,-28.22050109778887
1.3213213213213213,0.090937072679029,-29.271240084026214
1.3313313313313313,0.089764335906057,-30.35856896015301
1.3413413413413413,0.0886035736395969,-31.483723563125622
1.351351351351351,0.087454719746897,-32.647980834025155
1.361361361361361,0.0863177077013787,-33.852660174293135
1.371371371371371,0.0851924702250209,-35.09912484651003
1.3813813813813811,0.08407893900512,-36.38878342119814
1.3913913913913911,0.0829770454990611,-37.723091271162765
1.4014014014014011,0.0818867205775911,-39.10355211489811
1.4114114114114114,0.0808078940896157,-40.531719610709814
1.4214214214214214,0.0797404956740692,-42.00919900318128
1.4314314314314314,0.078684454558322,-43.537648823709446
1.4414414414414414,0.0776396990201528,-45.118782646903
1.4514514514514514,0.0766061570951963,-46.75437090462957
1.4614614614614614,0.075583756543429,-48.44624275964751
1.4714714714714714,0.0745724243248125,-50.196288040749856
1.4814814814814814,0.0735720870948987,-52.00645924142655
1.4914914914914914,0.0725826713065269,-53.87877358416727
1.5015015015015014,0.0716041028347333,-55.81531515250112
1.5115115115115114,0.0706363071711779,-57.818237093033964
1.5215215215215214,0.0696792096401999,-59.88976388977195
1.5315315315315314,0.0687327352189494,-62.03219371306232
1.5415415415415414,0.067796808433847,-64.24790084565939
1.5515515515515514,0.066871353719287,-66.53933818838175
1.5615615615615617,0.0659562952618611,-68.90903984799758
1.5715715715715717,0.0650515568532505,-71.35962381005065
1.5815815815815817,0.064157062208779,-73.89379469934765
1.5915915915915917,0.063272734886406,-76.51434663105465
1.6016016016016017,0.0623984981328243,-79.22416615531677
1.6116116116116117,0.0615342751197282,-82.02623529847
1.6216216216216215,0.0606799889264973,-84.92363470405716
1.6316316316316315,0.0598355624253141,-87.91954687683479
1.6416416416416415,0.0590009184170377,-91.01725953322048
1.6516516516516515,0.0581759796527399,-94.22016906163651
1.6616616616616615,0.057360668776882,-97.53178409631593
1.6716716716716715,0.0565549083839333,-100.95572920837044
1.6816816816816818,0.0557586210558443,-104.49574871786292
1.6916916916916918,0.0549717293304808,-108.1557106309118
1.7017017017017018,0.0541941557564009,-111.93961070592742
1.7117117117117118,0.0534258228925247,-115.85157665312974
1.7217217217217218,0.0526666532933995,-119.8958724718292
1.7317317317317318,0.0519165696038145,-124.07690292988093
1.7417417417417418,0.0511754944989986,-128.39921819000483
1.7517517517517518,0.0504433506741968,-132.86751858782966
1.7617617617617618,0.0497200609916679,-137.48665956651058
1.7717717717717718,0.049005548377494,-142.26165677317877
1.7817817817817818,0.0482997357945226,-147.19769132244184
1.7917917917917918,0.047602546421988,-152.30011523239247
1.8018018018018016,0.0469139035614305,-157.57445703887552
1.811811811811812,0.0462337305815712,-163.02642759370067
1.8218218218218216,0.045561951053685,-168.66192605294486
1.831831831831832,0.0448984887796821,-174.4870460615426
1.8418418418418416,0.04424326764712,-180.5080821404951
1.851851851851852,0.0435962117115337,-186.7315362835095
1.8618618618618616,0.0429572453840448,-193.1641247697384
1.871871871871872,0.0423262931592926,-199.81278519980583
1.8818818818818817,0.0417032796899754,-206.6846837624457
1.891891891891892,0.041088130071807,-213.78722273916193
1.901901901901902,0.0404807695133293,-221.12804825489232
1.911911911911912,0.0398811233580719,-228.71505828258637
1.921921921921922,0.0392891174501322,-236.55641091002693
1.931931931931932,0.0387046778077752,-244.66053287760684
1.941941941941942,0.0381277305720539,-253.03612839570113
1.951951951951952,0.0375582023771804,-261.69218825101217
1.961961961961962,0.0369960201325884,-270.63799921123365
1.971971971971972,0.0364411109019925,-279.8831537377378
1.981981981981982,0.0358934021280371,-289.4375600165782
1.991991991991992,0.0353528217077188,-299.31145231795534
2.002002002002002,0.0348192976791854,-309.5154016950945
2.012012012012012,0.0342927583835816,-320.06032703362683
2.022022022022022,0.033773132757533,-330.95750646275934
2.032032032032032,0.0332603498708867,-342.21858914037665
2.042042042042042,0.0327543390489321,-353.85560742403305
2.052052052052052,0.0322550302957738,-365.8809894405864
2.062062062062062,0.0317623537890247,-378.30757206762536
2.072072072072072,0.0312762399081133,-391.1486143398631
2.0820820820820822,0.0307966197426795,-404.41781129476726
2.092092092092092,0.0303234246395492,-418.12930827154577
2.1021021021021022,0.0298565861215822,-432.29771567835456
2.112112112112112,0.0293960363610989,-446.9381242432592
2.1221221221221223,0.028941707919028,-462.06612076442303
2.1321321321321323,0.028493533573218,-477.69780437617584
2.1421421421421423,0.028051446554566,-493.8498033477511
2.1521521521521523,0.0276153807152064,-510.5392924319153
2.1621621621621623,0.0271852700733381,-527.7840107819104
2.1721721721721723,0.0267610490235933,-545.6022804548367
2.1821821821821823,0.0263426527057824,-564.0130255209566
