Complexity,Loss,Equation
1,0.013586066,"x"
2,0.0010023322,"tanh(x)"
3,0.0003814129,"x * 0.80146277"
4,0.00010797798,"sin(x * 0.86530185)"
6,0.000107473395,"0.98217285 * sin(0.88379294 * x)"
8,0.00010687214,"sin((x - -0.02469659) * 0.87728333) + -0.023871869"
10,0.00010303904,"sin((x * 0.8658197) - (7.0336566e-5 / (0.952505 - x)))"
11,0.00010303662,"sin((x * 0.8658197) - (7.033995e-5 / tanh(0.952505 - x)))"
12,0.00010056152,"sin((x - (0.00016754321 / sin(exp(x / 0.10998414)))) * 0.8658197)"
13,0.00010030255,"sin((x - (0.00016754157 / tanh(sin(exp(x / 0.109984145))))) * 0.8658197)"
15,9.8819786e-5,"sin(0.86565113 * (x - (-0.00020855636 / (sin(x + 0.15213007) - (0.95252526 - x)))))"
