method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Thomas-Fermi,2,-1,21.2975848935,0.0000000000,5,1
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,22.1473517525,0.0000000000,10,5
PISR-NSGA-II,Thomas-Fermi,2,-1,21.2975848935,0.0000000000,5,1
PISR-NSGA-II,Thomas-Fermi,2,-1,23.5473765409,0.0000000000,10,11
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8916213301,0.0000000000,8,4
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,6945.5244832805,0.0000000000,17,17
PISR-NSGA-II,Thomas-Fermi,2,-1,20.8397259037,0.0000000000,8,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,22.5449344672,0.0000000000,5,2
PISR-NSGA-II,Thomas-Fermi,2,-1,22.7808168319,0.0000000000,24,16
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9636456734,0.0000000000,1,20
PISR-NSGA-II,Thomas-Fermi,2,-1,22.6592060581,0.0000000000,2,20
PISR-NSGA-II,Thomas-Fermi,2,-1,226.9879671324,0.0000000000,5,21
PISR-NSGA-II,Thomas-Fermi,2,-1,21.1055239026,0.0000000000,1,20
PISR-NSGA-II,Thomas-Fermi,2,-1,21.7804512883,0.0000000000,2,20
PISR-NSGA-II,Thomas-Fermi,2,-1,1617.7662513376,0.0000000000,18,25
PISR-NSGA-II,Thomas-Fermi,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,27
PISR-NSGA-II,Thomas-Fermi,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,27
PISR-NSGA-II,Thomas-Fermi,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,23
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8930319212,0.0000000000,1,20
PISR-NSGA-II,Thomas-Fermi,2,-1,24.4187077903,0.0000000000,4,20
PISR-NSGA-II,Thomas-Fermi,2,-1,20.2847694185,0.0000000000,1,20
PISR-NSGA-II,Thomas-Fermi,2,-1,30.5684450640,0.0000000000,1,20
