Complexity,Loss,Equation
1,0.04761233,"x"
2,0.030636868,"tanh(x)"
3,0.0028527917,"x * x"
4,0.0017902007,"sin(x) * x"
5,0.00085745536,"x * (x + -0.07717661)"
7,4.7549955e-5,"(x / (1.3792259 - x)) * 0.3883764"
8,5.9105932e-6,"(x * 0.2685169) / (1.11036 - sin(x))"
9,3.7717527e-6,"x * (0.24642923 / sin(1.0889883 - sin(x)))"
10,1.4177464e-6,"((x * 0.25652114) - -0.0047674417) / (1.1024972 - sin(x))"
12,1.4001502e-6,"((x * 0.25712103) - -0.0044623823) / (1.1030093 - (sin(x) * 1.0003244))"
13,7.8173755e-8,"(((x * x) * (0.7859202 / (2.1296191 - x))) + 0.303962) * x"
15,4.480521e-8,"(x - 0.0015929024) * (((x * 0.7856521) * (x / (2.1293151 - x))) + 0.30544475)"
17,4.4184663e-8,"((((x * (x * x)) / (2.1292288 - x)) * 0.78457224) + (x * 0.305177)) - 0.0004664399"
